"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jacoby Ellsbury","NYY","371","1536","23","202","128","63","8.5%","15.2%",".110",".299",".261",".331",".372",".308","","91","10.2","-5.8","-3.9","4.3","4727"
"Danny Valencia","- - -","444","1677","59","213","211","6","7.9%","22.1%",".172",".323",".274",".331",".446",".333","","111","-15.8","5.3","-21.2","4.2","6364"
"Garrett Cooper","- - -","358","1356","39","144","161","1","8.8%","26.0%",".166",".354",".274",".348",".440",".341","","117","-10.4","18.6","-20.5","4.2","15279"
"Yunel Escobar","- - -","360","1539","21","186","126","3","7.4%","12.2%",".101",".334",".300",".357",".402",".333","","110","-17.1","1.1","-11.0","4.2","4191"
"Tommy La Stella","- - -","574","1573","39","185","173","3","8.6%","11.1%",".147",".284",".271",".339",".418",".328","","106","-4.0","7.6","-18.2","4.2","12371"
"Chas McCormick","HOU","227","727","28","94","94","8","9.8%","28.9%",".174",".322",".250",".326",".425",".326","","111","-1.5","7.8","9.0","4.2","19599"
"Matt Joyce","- - -","675","1822","61","228","190","6","14.3%","22.1%",".173",".268",".229",".342",".402",".325","","104","-2.7","7.6","-24.3","4.2","3353"
"Ha-seong Kim","SDP","267","880","19","85","93","18","8.3%","19.4%",".138",".275",".235",".306",".372",".298","","93","3.3","-4.5","14.7","4.2","27506"
"Johan Camargo","- - -","416","1339","37","149","159","2","7.4%","20.9%",".155",".302",".255",".313",".410",".310","","90","-0.5","-17.7","15.7","4.1","14950"
"Josh Rojas","ARI","322","1287","22","161","118","37","10.7%","22.7%",".123",".324",".256",".336",".378",".314","","96","11.0","4.1","-7.3","4.1","19734"
"Austin Nola","- - -","293","1042","23","116","128","3","8.5%","16.9%",".132",".298",".263",".336",".395",".318","","104","0.4","6.4","-0.6","4.1","15941"
"Brad Miller","- - -","829","2718","104","301","327","34","10.4%","26.3%",".189",".289",".236",".317",".425",".319","","102","0.2","6.9","-58.3","4.1","12775"
"Tucker Barnhart","- - -","817","2809","51","232","276","6","9.5%","20.1%",".116",".297",".246",".322",".362",".297","","81","-21.4","-87.9","37.3","4.1","10200"
"Anthony Santander","BAL","438","1794","83","211","238","3","6.3%","20.2%",".209",".264",".245",".300",".454",".321","","103","1.4","7.8","-27.3","4.0","14551"
"Alex Avila","- - -","436","1412","43","127","128","1","17.2%","34.1%",".158",".317",".211",".351",".369",".320","","98","-12.3","-15.7","9.2","4.0","7476"
"Victor Robles","WSN","480","1675","31","195","146","58","5.9%","23.9%",".126",".296",".233",".306",".359",".291","","78","3.4","-41.2","28.1","4.0","18363"
"Taylor Ward","LAA","294","1098","38","140","120","10","9.4%","24.7%",".176",".314",".256",".333",".431",".333","","113","3.2","19.4","-18.0","4.0","17548"
"Guillermo Heredia","- - -","591","1566","27","179","114","7","8.3%","20.0%",".115",".278",".231",".310",".346",".290","","81","4.5","-31.3","17.4","3.9","18721"
"Miguel Montero","- - -","279","913","29","93","102","3","12.3%","23.1%",".145",".270",".227",".329",".372",".306","","89","-5.9","-18.1","26.6","3.9","3364"
"Reese McGuire","- - -","230","674","12","68","48","2","5.3%","20.5%",".125",".311",".256",".301",".381",".296","","85","-1.1","-13.4","29.6","3.9","15674"
"Thairo Estrada","- - -","253","794","25","110","99","27","5.8%","18.4%",".150",".286",".255",".316",".405",".314","","102","5.7","7.2","4.1","3.9","16426"
"Tyrone Taylor","MIL","250","729","31","89","101","9","6.2%","23.3%",".212",".276",".241",".303",".453",".325","","106","1.5","6.7","5.9","3.8","13675"
"Jay Bruce","- - -","684","2691","137","316","400","17","8.6%","22.4%",".235",".252",".233",".300",".469",".323","","101","-7.8","-2.8","-44.9","3.8","9892"
"Brock Holt","- - -","597","2025","21","233","191","28","9.3%","19.4%",".103",".317",".259",".334",".362",".307","","88","-0.4","-29.4","-2.6","3.8","9345"
"Brandon Guyer","- - -","403","1143","26","138","107","16","6.5%","18.1%",".144",".290",".249",".346",".393",".328","","106","-2.9","4.7","-6.5","3.8","2636"
"Jonah Heim","- - -","222","776","26","78","85","5","7.6%","19.1%",".159",".233",".214",".275",".374",".283","","81","-2.9","-20.7","31.5","3.8","16930"
"Seth Brown","OAK","294","950","45","109","134","16","8.5%","27.4%",".225",".272",".229",".298",".454",".321","","112","2.3","15.0","-9.8","3.7","18171"
"Tyler Stephenson","CIN","190","605","18","84","86","1","9.1%","21.7%",".158",".358",".296",".369",".454",".356","","119","-1.2","12.6","3.2","3.7","17988"
"Justin Bour","- - -","520","1867","91","196","292","3","11.2%","22.9%",".210",".283",".251",".336",".462",".338","","114","-19.3","12.7","-36.7","3.7","9744"
"Isiah Kiner-Falefa","- - -","534","2054","20","234","166","60","5.8%","14.8%",".083",".304",".264",".316",".347",".292","","82","2.7","-43.2","9.3","3.7","16512"
"Eduardo Nunez","- - -","516","1968","44","225","209","85","4.0%","13.6%",".134",".308",".282",".313",".416",".313","","92","-1.1","-19.8","-11.6","3.6","6848"
"Brandon Drury","- - -","645","2276","79","248","277","4","6.0%","22.0%",".181",".294",".252",".302",".434",".315","","93","-8.4","-29.4","-12.0","3.6","11615"
"Ramon Urias","BAL","213","768","24","86","92","2","7.8%","23.4%",".155",".322",".264",".331",".419",".327","","110","-0.7","8.9","0.8","3.6","18795"
"Madison Bumgarner","- - -","215","388","13","30","34","0","8.8%","43.8%",".146",".294",".178",".252",".324",".253","","56","-0.2","-21.6","44.3","3.6","5524"
"Alcides Escobar","- - -","729","2984","24","323","226","50","4.0%","14.6%",".088",".291",".254",".290",".342",".275","","68","13.0","-101.5","36.6","3.6","6310"
"Kyle Farmer","- - -","480","1476","39","146","183","11","5.1%","19.4%",".138",".294",".254",".311",".393",".306","","86","-5.5","-31.2","16.3","3.6","14813"
"Tyler Naquin","- - -","557","1811","61","226","237","20","6.5%","25.8%",".183",".331",".264",".318",".448",".326","","101","3.6","6.8","-35.4","3.5","13359"
"Eric Sogard","- - -","500","1563","19","169","119","23","8.8%","14.3%",".097",".288",".253",".323",".350",".295","","83","2.7","-29.2","10.5","3.5","7927"
"Jose Martinez","- - -","432","1386","43","170","182","7","9.2%","19.8%",".158",".339",".289",".356",".447",".345","","118","-2.0","28.6","-38.7","3.5","7996"
"Nori Aoki","- - -","321","1233","14","153","89","31","7.5%","9.2%",".105",".303",".282",".346",".387",".322","","105","-4.7","2.4","-9.3","3.5","13075"
"Carson Kelly","- - -","415","1338","43","145","157","2","10.1%","20.4%",".160",".252",".223",".309",".383",".299","","85","-4.5","-29.4","19.8","3.5","13620"
"Jeremy Pena","HOU","136","558","22","72","63","11","3.9%","24.2%",".173",".298",".253",".289",".426",".309","","102","3.7","4.8","10.0","3.4","21636"
"Jonathan India","CIN","253","1062","31","146","110","15","9.6%","22.1%",".164",".317",".260",".356",".425",".343","","110","-1.8","11.9","-13.7","3.4","21523"
"Patrick Wisdom","- - -","283","997","57","133","138","14","9.2%","37.1%",".242",".293",".217",".301",".459",".327","","107","0.9","9.7","-9.9","3.4","13602"
"Greg Garcia","- - -","564","1285","14","140","98","7","12.8%","20.5%",".093",".312",".247",".355",".340",".311","","94","4.2","-5.7","-2.6","3.3","10951"
"Robinson Chirinos","- - -","588","2029","81","232","259","5","10.2%","28.3%",".200",".282",".225",".327",".425",".326","","101","-15.6","-12.1","-22.5","3.3","3142"
"Jordan Luplow","- - -","323","970","45","121","120","11","11.8%","24.4%",".219",".238",".213",".313",".432",".321","","102","-3.2","-0.4","0.3","3.3","16424"
"Austin Jackson","- - -","391","1423","19","155","133","25","7.4%","25.4%",".114",".359",".270",".326",".384",".310","","95","0.4","-8.5","-5.4","3.3","9848"
"Jose Reyes","- - -","431","1610","34","207","151","62","7.5%","14.2%",".143",".275",".250",".307",".392",".302","","88","8.9","-15.1","-4.4","3.3","1736"
"Luis Valbuena","- - -","435","1524","69","165","194","5","10.6%","25.8%",".200",".254",".220",".306",".420",".313","","98","-5.8","-9.8","-9.4","3.3","4969"
"Lars Nootbaar","STL","166","471","19","68","55","6","13.6%","21.0%",".211",".254",".231",".334",".441",".335","","118","2.7","12.7","3.1","3.3","21454"
"Chris Iannetta","- - -","437","1495","51","145","158","0","12.3%","26.4%",".172",".272",".219",".323",".392",".311","","88","-12.8","-34.0","17.0","3.3","8267"
"Brian Goodwin","- - -","429","1395","50","177","158","23","9.2%","27.3%",".195",".309",".244",".318",".440",".322","","99","2.2","0.0","-16.2","3.2","12858"
"Trayce Thompson","- - -","297","879","39","111","109","15","10.4%","30.6%",".212",".281",".221",".303",".434",".318","","102","10.1","11.1","-10.4","3.1","9952"
"Franklin Gutierrez","- - -","192","535","30","68","82","1","9.3%","29.0%",".238",".320",".261",".336",".499",".357","","129","0.6","18.8","-7.0","3.1","3255"
"Donovan Solano","- - -","380","1196","19","117","116","2","5.5%","19.1%",".117",".348",".290",".338",".407",".323","","102","-3.9","-0.3","-8.0","3.1","8623"
"Ian Desmond","- - -","707","2792","90","369","341","72","7.2%","25.0%",".167",".316",".256",".313",".423",".316","","87","10.0","-36.2","-24.6","3.1","6885"
"Zack Greinke","- - -","230","336","5","29","23","6","3.3%","20.8%",".108",".280",".229",".256",".337",".255","","53","0.6","-18.7","38.5","3.1","1943"
"Edmundo Sosa","- - -","202","529","8","68","48","11","4.5%","21.9%",".124",".317",".253",".321",".378",".307","","96","1.0","-1.6","14.0","3.1","17022"
"Ryan Schimpf","- - -","147","534","35","74","78","1","13.3%","33.3%",".300",".218",".195",".318",".496",".342","","114","6.1","15.1","-2.9","3.0","9953"
"Kyle Higashioka","NYY","222","663","30","70","87","0","5.6%","25.6%",".187",".220",".200",".245",".386",".270","","71","-0.4","-23.7","31.5","3.0","5517"
"Melvin Upton Jr.","- - -","236","767","25","87","78","36","7.6%","28.3%",".166",".315",".244",".301",".410",".306","","92","7.3","-0.3","4.3","3.0","5015"
"Keston Hiura","MIL","284","1057","50","131","132","20","7.4%","36.0%",".215",".337",".238",".318",".453",".329","","105","1.3","8.2","-15.9","2.9","20003"
"Carlos Beltran","- - -","413","1633","62","190","211","1","6.9%","17.6%",".190",".293",".269",".320",".459",".331","","107","-5.7","7.2","-34.1","2.9","589"
"David Bote","CHC","384","1165","36","132","150","11","9.7%","26.7%",".162",".292",".231",".318",".393",".308","","91","-1.2","-14.1","4.0","2.9","14593"
"Franmil Reyes","- - -","529","2013","106","232","278","6","8.3%","30.4%",".219",".313",".251",".313",".470",".331","","110","-13.9","12.3","-51.4","2.9","14566"
"Seth Smith","- - -","384","1263","41","166","137","2","10.4%","21.1%",".180",".293",".251",".338",".431",".331","","110","-7.2","8.0","-22.1","2.9","7331"
"Scott Schebler","- - -","394","1413","61","174","167","13","8.1%","24.1%",".200",".274",".237",".314",".437",".321","","95","1.5","-7.7","-9.5","2.9","12225"
"Lucas Duda","- - -","455","1703","82","179","225","1","10.6%","26.0%",".226",".266",".229",".323",".455",".331","","109","-9.3","9.1","-37.9","2.9","2502"
"Adrian Gonzalez","- - -","437","1715","55","174","236","0","8.6%","17.6%",".163",".301",".270",".335",".433",".328","","108","-15.9","0.3","-27.3","2.9","1908"
"Chris Davis","BAL","694","2788","139","333","348","6","11.3%","34.8%",".210",".280",".212",".308",".422",".314","","95","0.8","-17.4","-51.2","2.9","9272"
"Jorge Mateo","- - -","261","770","17","86","66","46","4.8%","27.7%",".148",".296",".225",".271",".374",".281","","80","8.0","-10.4","12.7","2.9","17273"
"Welington Castillo","- - -","440","1632","71","163","234","3","6.4%","26.3%",".189",".305",".253",".306",".442",".319","","96","-14.9","-23.7","-2.0","2.9","3256"
"Ryan Mountcastle","BAL","324","1335","60","151","197","8","7.1%","25.8%",".198",".311",".261",".315",".458",".331","","112","-1.5","17.2","-32.4","2.8","18373"
"Hunter Pence","- - -","489","1824","59","219","253","18","7.6%","21.3%",".164",".311",".265",".322",".429",".322","","100","4.0","4.0","-36.3","2.8","8252"
"Steve Pearce","- - -","374","1325","53","159","163","1","9.1%","19.8%",".194",".280",".252",".330",".446",".334","","109","-0.9","12.6","-30.3","2.8","9957"
"Ehire Adrianza","- - -","550","1413","20","170","141","18","8.5%","19.1%",".117",".287",".240",".312",".357",".293","","82","3.7","-27.3","6.7","2.8","8418"
"Logan Morrison","- - -","535","1935","87","216","226","15","10.6%","21.6%",".201",".245",".225",".314",".425",".318","","101","-0.4","2.4","-39.9","2.7","9205"
"Daniel Robertson","- - -","300","945","18","105","78","5","11.7%","25.7%",".117",".301",".227",".338",".345",".307","","94","-3.5","-11.1","5.4","2.7","14145"
"Jake Cave","MIN","335","1015","33","130","118","5","6.4%","32.3%",".176",".325",".235",".297",".411",".304","","92","3.3","-6.3","-2.2","2.7","14477"
"Bradley Zimmer","- - -","372","975","21","121","91","42","7.8%","33.9%",".120",".315",".213",".298",".333",".281","","73","11.0","-20.9","14.9","2.7","16221"
"Brendan Donovan","STL","126","468","5","64","45","2","12.8%","15.0%",".097",".330",".281",".394",".379",".349","","129","-1.9","14.0","-3.8","2.7","24679"
"Luis Guillorme","NYM","281","703","4","64","39","4","11.5%","14.7%",".067",".315",".267",".354",".334",".309","","101","-6.5","-5.8","9.7","2.7","16451"
"Rene Rivera","- - -","318","956","28","69","110","0","5.4%","29.4%",".135",".283",".217",".268",".351",".268","","66","-7.9","-46.0","41.4","2.7","3648"
"Tim Beckham","- - -","480","1768","63","201","198","13","6.3%","29.1%",".180",".318",".246",".298",".426",".310","","94","-5.2","-16.5","-16.6","2.7","7949"
"Juan Lagares","- - -","613","1635","23","189","136","26","4.9%","21.1%",".112",".299",".243",".285",".356",".277","","74","3.5","-49.7","22.9","2.6","5384"
"Kyle Lewis","SEA","130","526","25","68","57","7","11.0%","29.7%",".188",".309",".244",".329",".432",".329","","113","1.1","10.0","-1.4","2.6","19508"
"Andre Ethier","LAD","180","509","17","59","58","2","9.6%","17.9%",".192",".322",".285",".358",".477",".357","","130","-2.2","15.7","-6.8","2.6","6265"
"Adam Lind","- - -","391","1303","54","159","204","1","9.2%","18.1%",".192",".294",".270",".336",".462",".338","","111","-7.4","10.4","-27.7","2.6","8027"
"Jake McCarthy","ARI","123","424","10","64","47","26","7.3%","23.3%",".145",".346",".274",".340",".418",".333","","112","8.6","14.7","-3.8","2.6","21622"
"Rajai Davis","- - -","493","1473","27","222","112","111","6.4%","21.6%",".132",".298",".243",".297",".376",".293","","80","18.1","-18.1","-6.1","2.6","3708"
"Alec Bohm","PHI","311","1228","24","149","142","7","6.4%","20.9%",".114",".334",".277",".324",".391",".312","","96","-3.1","-9.2","-5.4","2.6","21618"
"Maikel Franco","- - -","907","3515","130","359","462","5","6.3%","15.8%",".172",".258",".246",".294",".417",".301","","86","-17.0","-80.1","-12.4","2.6","12179"
"Chad Pinder","OAK","553","1740","62","204","197","5","5.9%","27.3%",".175",".303",".242",".294",".417",".305","","96","-6.3","-15.5","-18.7","2.5","15191"
"William Contreras","ATL","153","571","28","70","69","2","10.2%","28.4%",".211",".325",".260",".338",".471",".349","","121","-3.6","10.4","-5.5","2.5","20503"
"Jacob deGrom","NYM","198","370","3","24","27","1","4.3%","27.8%",".047",".281",".202",".238",".249",".217","","33","0.0","-30.5","42.9","2.4","10954"
"Brandon Marsh","- - -","204","721","13","76","71","16","6.7%","34.5%",".126",".376",".248",".303",".374",".296","","88","6.0","-4.3","3.7","2.4","20202"
"Jose Siri","- - -","125","374","11","63","33","17","5.6%","33.4%",".150",".316",".225",".278",".375",".286","","86","5.8","0.2","10.4","2.4","17452"
"Jared Walsh","LAA","328","1234","54","136","173","4","7.0%","27.6%",".208",".308",".250",".308",".458",".324","","105","-1.3","7.7","-25.5","2.3","18607"
"Ben Gamel","- - -","679","2206","40","259","198","21","10.2%","24.7%",".132",".329",".253",".333",".385",".313","","97","3.6","-6.0","-45.6","2.3","12160"
"Bobby Witt Jr.","KCR","150","632","20","82","80","30","4.7%","21.4%",".174",".295",".254",".294",".428",".311","","99","6.8","6.3","-4.3","2.3","25764"
"Mike Brosseau","- - -","215","569","22","65","69","7","7.7%","30.1%",".185",".326",".248",".320",".432",".325","","109","0.6","7.0","-2.5","2.3","19683"
"Danny Espinosa","- - -","368","1308","43","155","140","18","8.3%","29.7%",".154",".274",".211",".294",".365",".285","","74","5.8","-35.6","15.8","2.3","9219"
"Mike Tauchman","- - -","257","667","17","93","78","17","12.0%","27.0%",".147",".304",".231",".326",".378",".307","","90","2.4","-5.9","7.5","2.3","15274"
"Brandon Phillips","- - -","442","1838","37","228","196","48","3.8%","11.8%",".119",".310",".288",".321",".407",".314","","93","-2.3","-19.1","-18.3","2.3","791"
"Albert Almora Jr.","- - -","600","1605","33","189","163","7","5.4%","18.1%",".124",".299",".259",".300",".383",".293","","80","-8.5","-49.1","18.3","2.2","14109"
"Hernan Perez","- - -","607","1767","45","177","175","68","4.1%","21.6%",".137",".299",".252",".282",".389",".286","","74","8.2","-49.4","14.6","2.2","5751"
"Orlando Arcia","- - -","642","2188","53","216","223","40","6.9%","20.3%",".126",".285",".243",".295",".369",".286","","74","-0.3","-73.2","21.9","2.2","13185"
"Kevin Plawecki","- - -","449","1426","22","119","137","2","8.3%","19.5%",".106",".283",".235",".313",".341",".288","","80","-11.6","-45.1","21.2","2.2","13807"
"Kendrys Morales","- - -","645","2537","103","276","353","2","8.9%","18.8%",".186",".284",".259",".331",".445",".333","","108","-29.0","-5.2","-60.0","2.2","8610"
"Chase Utley","- - -","459","1528","31","177","139","15","7.9%","17.7%",".140",".267",".233",".309",".373",".298","","86","7.5","-18.0","-8.8","2.2","1679"
"Yonder Alonso","- - -","667","2364","73","272","274","7","10.4%","18.3%",".156",".284",".253",".332",".409",".320","","101","-12.6","-10.8","-47.5","2.2","2530"
"Miguel Andujar","- - -","268","1030","35","121","131","7","4.1%","16.7%",".175",".296",".272",".302",".447",".319","","102","0.8","2.8","-16.7","2.2","15878"
"Mark Teixeira","NYY","227","900","46","100","123","4","11.8%","21.1%",".226",".242",".230",".326",".456",".335","","110","-4.6","5.6","-15.4","2.2","1281"
"Caleb Joseph","- - -","343","1092","23","111","99","2","5.1%","23.0%",".124",".278",".226",".271",".350",".270","","65","-1.8","-47.4","31.8","2.2","7087"
"Jhonny Peralta","STL","258","1011","25","104","100","1","7.3%","17.8%",".132",".303",".266",".321",".398",".312","","96","-9.6","-14.4","3.2","2.2","1738"
"Luke Maile","- - -","307","897","13","78","80","4","6.9%","26.8%",".107",".274",".207",".268",".314",".257","","59","0.2","-45.1","35.5","2.2","13355"
"Keibert Ruiz","- - -","143","537","11","44","52","6","6.7%","11.5%",".118",".272",".255",".315",".373",".304","","93","-1.6","-6.2","8.6","2.1","19610"
"David Ross","CHC","139","387","11","30","41","1","12.9%","29.7%",".148",".268",".203",".304",".351",".276","","69","1.3","-12.7","21.3","2.1","1551"
"Lane Thomas","- - -","275","896","29","108","94","15","9.6%","24.1%",".175",".286",".237",".314",".412",".316","","99","-2.2","-2.5","-7.2","2.1","16939"
"Travis Jankowski","- - -","470","1215","9","159","54","72","10.4%","22.6%",".075",".309",".236",".319",".310",".283","","77","9.2","-25.7","7.0","2.1","13768"
"Ryan Jeffers","MIN","178","591","24","58","69","0","8.5%","32.0%",".180",".274",".210",".285",".390",".295","","89","-3.7","-11.4","11.6","2.1","24618"
"Kelby Tomlinson","SFG","273","687","3","77","47","19","8.4%","20.2%",".066",".336",".265",".331",".332",".294","","84","4.5","-9.1","7.1","2.1","13005"
"David Dahl","- - -","327","1240","42","168","160","17","6.1%","26.1%",".191",".341",".272",".319",".463",".330","","93","4.3","-6.1","-13.8","2.1","13744"
"Isaac Paredes","- - -","168","574","22","62","56","0","10.8%","17.8%",".181",".217",".209",".300",".390",".303","","99","-3.4","-4.8","4.1","2.0","20036"
"Nomar Mazara","- - -","684","2690","85","294","360","7","7.3%","22.0%",".158",".302",".256",".315",".414",".313","","89","-6.0","-43.8","-29.8","2.0","14553"
"Stephen Vogt","- - -","645","2136","69","215","262","4","8.6%","19.8%",".173",".263",".235",".301",".408",".303","","90","-5.0","-30.3","-21.1","2.0","5000"
"Seiya Suzuki","CHC","111","446","14","54","46","9","9.4%","24.7%",".171",".326",".262",".336",".433",".334","","116","-0.4","7.9","-3.7","2.0","30116"
"Daniel Vogelbach","- - -","467","1559","67","175","190","0","15.7%","25.3%",".194",".256",".218",".343",".411",".330","","110","-11.8","7.9","-42.8","2.0","14130"
"Eric Haase","- - -","234","785","37","91","111","2","6.6%","30.1%",".199",".289",".234",".287",".433",".308","","99","-1.9","-3.8","-3.0","2.0","14111"
"Kevin Newman","PIT","431","1663","20","161","143","30","5.2%","11.7%",".096",".286",".260",".303",".357",".286","","77","7.1","-40.8","4.5","2.0","17696"
"Brett Lawrie","- - -","243","986","28","99","96","12","5.9%","25.7%",".154",".322",".255",".303",".410",".308","","94","5.7","-1.1","-12.5","2.0","5247"
"Chris Carter","- - -","351","1312","73","154","184","4","11.7%","33.0%",".242",".258",".211",".310",".453",".327","","104","-7.9","-1.7","-21.4","2.0","9911"
"Chris Coghlan","- - -","283","891","23","106","76","13","11.4%","21.2%",".160",".266",".224",".319",".384",".307","","91","4.7","-5.1","-5.5","2.0","6878"
"Greg Allen","- - -","282","800","10","103","67","45","5.6%","23.0%",".104",".296",".232",".299",".336",".279","","72","9.1","-18.2","9.7","1.9","16623"
"Aristides Aquino","CIN","244","762","41","87","108","12","8.7%","33.5%",".223",".264",".211",".285",".434",".305","","84","3.5","-10.8","4.5","1.9","15482"
"Darin Ruf","- - -","425","1186","47","142","154","6","10.9%","26.1%",".184",".285",".235",".325",".419",".324","","106","-3.1","6.5","-25.7","1.9","9929"
"Aaron Altherr","- - -","357","1151","37","142","151","21","9.6%","28.7%",".183",".286",".221",".310",".404",".309","","90","-2.2","-17.0","-1.9","1.9","11270"
"Andrew Toles","LAD","96","249","8","41","35","2","6.0%","19.7%",".173",".331",".286",".333",".459",".335","","110","2.5","5.7","4.7","1.9","13414"
"Christian Villanueva","SDP","122","416","24","47","53","3","5.5%","27.4%",".230",".285",".245",".303",".475",".332","","110","-1.3","4.0","1.4","1.9","11738"
"Marlon Byrd","- - -","169","673","28","69","92","2","5.9%","27.2%",".201",".306",".251",".297",".452",".319","","100","1.1","1.1","-4.8","1.8","950"
"Seby Zavala","CHW","103","321","7","38","36","0","7.8%","35.5%",".134",".360",".233",".303",".367",".295","","89","-0.2","-4.7","11.2","1.8","18887"
"Melky Cabrera","- - -","676","2670","56","289","334","9","6.0%","11.6%",".136",".303",".284",".326",".419",".320","","100","-14.8","-16.1","-55.4","1.8","4022"
"Sean Rodriguez","- - -","479","1060","36","137","112","7","9.0%","31.0%",".165",".305",".226",".309",".391",".305","","89","-1.5","-16.3","0.5","1.8","6589"
"Victor Caratini","- - -","458","1347","31","127","146","3","9.1%","21.8%",".120",".281",".232",".316",".352",".293","","83","-10.7","-39.1","11.2","1.8","14968"
"Jack Suwinski","PIT","106","372","19","45","38","4","11.0%","30.6%",".209",".242",".202",".298",".411",".311","","100","0.6","0.4","3.9","1.8","22244"
"Nick Madrigal","- - -","142","552","2","57","39","6","5.3%","9.2%",".066",".317",".289",".336",".355",".307","","94","-3.8","-7.1","4.9","1.8","20521"
"Pedro Alvarez","- - -","318","1028","58","125","148","3","10.0%","26.7%",".234",".274",".240",".316",".474",".335","","112","4.0","18.2","-34.9","1.7","2495"
"Nick Fortes","MIA","86","274","13","47","31","6","7.7%","19.3%",".190",".253",".238",".310",".427",".322","","109","0.0","3.1","4.2","1.7","21538"
"Trevor Plouffe","- - -","343","1301","44","141","155","4","7.5%","21.4%",".166",".273",".238",".297",".404",".303","","88","-7.4","-26.8","-1.0","1.7","7462"
"Adam Wainwright","STL","182","274","4","20","36","0","2.9%","31.0%",".125",".257",".177",".203",".302",".216","","32","-0.1","-24.0","32.1","1.7","2233"
"Roman Quinn","- - -","222","599","8","78","45","43","8.0%","30.4%",".121",".328",".226",".303",".348",".288","","78","7.8","-9.1","7.3","1.7","13546"
"Hanser Alberto","- - -","458","1387","19","149","121","12","2.3%","12.2%",".108",".299",".272",".294",".380",".289","","77","-0.4","-38.2","9.9","1.7","11902"
"Geovany Soto","- - -","117","344","16","36","39","0","9.0%","27.3%",".199",".273",".228",".302",".427",".316","","100","-1.1","-1.3","5.8","1.7","3707"
"Trevor Larnach","MIN","130","481","12","51","46","1","10.2%","33.5%",".145",".331",".226",".316",".371",".304","","95","-0.8","-3.7","3.9","1.7","21501"
"Akil Baddoo","DET","197","686","15","90","64","27","10.1%","27.1%",".140",".320",".241",".316",".381",".305","","95","6.1","2.8","-9.0","1.7","22168"
"Bryan De La Cruz","MIA","173","574","18","55","62","5","6.4%","24.9%",".161",".333",".269",".318",".430",".323","","108","-2.5","2.9","-5.9","1.7","19600"
"Tony Wolters","- - -","407","1266","7","131","123","6","10.0%","20.1%",".079",".296",".235",".321",".314",".279","","56","-1.1","-71.5","45.8","1.7","11470"
"Willi Castro","DET","303","1092","24","134","101","18","4.7%","24.1%",".136",".306",".245",".292",".381",".292","","86","1.6","-16.7","-4.8","1.6","17338"
"Michael Saunders","- - -","222","828","30","98","81","1","9.5%","26.8%",".191",".294",".235",".313",".426",".317","","97","0.5","-3.5","-8.7","1.6","9981"
"LaMonte Wade Jr.","- - -","228","745","28","94","88","8","9.9%","21.2%",".190",".262",".231",".321",".421",".322","","104","-0.4","3.9","-13.5","1.6","18126"
"Oscar Mercado","- - -","278","941","26","120","95","27","6.3%","19.3%",".153",".268",".235",".289",".388",".290","","81","8.1","-14.0","-2.8","1.6","16375"
"Chris Gimenez","- - -","206","559","18","71","48","4","10.6%","24.3%",".158",".274",".225",".317",".383",".308","","89","-2.7","-10.1","7.4","1.6","7324"
"Oscar Gonzalez","CLE","91","382","11","39","43","1","3.9%","19.6%",".166",".345",".296",".327",".461",".339","","122","-1.3","8.3","-5.1","1.6","20970"
"Josh Phegley","- - -","312","952","28","113","133","0","5.3%","19.2%",".165",".257",".230",".280",".394",".289","","81","-7.1","-29.1","11.4","1.6","9308"
"German Marquez","COL","173","244","2","19","30","0","0.0%","24.2%",".090",".325",".241",".241",".330",".243","","32","-0.1","-21.5","29.4","1.6","15038"
"Christopher Morel","CHC","113","425","16","55","47","10","8.9%","32.2%",".198",".320",".235",".308",".433",".322","","108","1.9","5.9","-5.1","1.6","21897"
"Alex Rodriguez","NYY","216","863","42","102","117","7","11.4%","24.6%",".210",".266",".235",".326",".445",".332","","109","-1.0","7.1","-21.3","1.6","1274"
"Ronald Torreyes","- - -","352","982","11","99","98","7","4.4%","12.6%",".096",".294",".265",".299",".361",".286","","76","3.6","-26.1","8.6","1.6","11400"
"Francisco Mejia","- - -","305","938","24","102","99","1","4.7%","21.4%",".152",".285",".241",".288",".393",".293","","88","-3.0","-16.6","1.3","1.6","16403"
"Brendan Rodgers","COL","271","1098","28","130","123","0","6.3%","19.9%",".148",".312",".266",".318",".414",".318","","87","-1.6","-20.0","-2.5","1.5","17907"
"Oswaldo Cabrera","NYY","44","171","6","21","19","3","8.8%","25.7%",".182",".305",".247",".312",".429",".322","","111","0.4","2.6","6.6","1.5","21707"
"Juan Uribe","- - -","192","656","21","59","68","2","7.5%","19.7%",".149",".263",".234",".296",".383",".294","","83","-0.5","-13.8","7.0","1.5","454"
"Jake Arrieta","- - -","185","347","6","22","21","0","3.5%","48.1%",".088",".324",".167",".199",".255",".199","","18","-0.1","-35.8","39.6","1.5","4153"
"Tomas Nido","NYM","252","744","13","70","73","1","4.3%","25.8%",".103",".284",".220",".257",".323",".251","","61","-11.8","-47.4","37.7","1.5","13755"
"Matt Holliday","- - -","313","1195","45","125","164","3","11.0%","21.1%",".188",".286",".250",".341",".438",".336","","110","-8.3","5.9","-29.7","1.5","1873"
